"Caribisch Nederland; consumentenprijsindex (CPI) 2017=100"
"Spending category: 000000 All expenditure"
""
"Caribbean Netherlands";"Saba";"Saba"
"Subject";"Consumentenprijsindex (CPI)";"Jaarmutatie"
"Periods";"2017=100";"%"
"2010";"87.52";""
"2011";"93.13";"6.4"
"2012";"96.61";"3.7"
"2013";"97.77";"1,2"
"2014";"99.73";"2.0"
"2015";"100.18";"0.5"
"2016";"100.23";"0.1"
"2017";"100.00";"-0.2"
"2018";"102.63";"2.6"
"2019";"103.17";"0.5"
"2020";"102.45";"-0.7"
"2021";"104.22";"1.7"
"2022";"113.17";"8.6"
"Bron: CBS"
