"Caribisch Nederland; consumentenprijsindex (CPI) 2017=100"
"Spending category: 000000 All expenditure"
""
"Caribbean Netherlands";"St. Eustatius";"St. Eustatius"
"Subject";"Consumentenprijsindex (CPI)";"Jaarmutatie"
"Periods";"2017=100";"%"
"2010";"81.62";""
"2011";"89.71";"9.9"
"2012";"94.49";"5.3"
"2013";"96.70";"2.3"
"2014";"99.19";"2.6"
"2015";"98.22";"-1.0"
"2016";"98.13";"-0.1"
"2017";"100.00";"1.9"
"2018";"101.35";"1.3"
"2019";"102.07";"0.7"
"2020";"100.52";"-1.5"
"2021";"100.40";"-0.1"
"2022";"108.13";"7.7"
"Bron: CBS"
